station ID, station name, total num of trips, avg trip duration, avg trip distance, max trip duration, max trip distance, % of one-way trips, diff start-end stations
3012, 21st & Catharine, 10064, 8.24, 0.00812, 1440, 0.05735, 49.10572, 328
3013, 6th & Fairmount, 3395, 10.27, 0.00960, 1440, 0.06297, 48.39470, 93
3014, "21st & Winter Franklin Institute", 7, 3.71, 0.00000, 14, 0.00000, 28.57143, 1
3015, "4th & Walnut NPS", 4815, 10.04, 0.00834, 1440, 0.06968, 46.23053, 121
3016, "11th & Poplar John F. Street Community Center", 583, 16.04, 0.00624, 1440, 0.04469, 38.76501, 25
3017, 6th & Berks, 983, 10.55, 0.00955, 409, 0.07273, 43.03154, 35
3018, 12th & Filbert, 8323, 12.38, 0.00766, 1440, 0.05846, 45.80079, 51
3019, 6th & Race, 3005, 12.65, 0.00791, 1440, 0.06004, 44.95840, 91
3020, University City Station, 10164, 7.75, 0.00995, 1440, 0.06423, 49.97048, 336
3021, 18th & JFK, 14821, 8.49, 0.00703, 1440, 0.06019, 41.52216, 1741
3022, Amtrak 30th Street Station, 8250, 9.72, 0.00815, 1269, 0.05607, 46.82424, 48
3023, Rittenhouse Square, 16978, 11.21, 0.00842, 1440, 0.05826, 47.09624, 76
3024, "43rd & Chester Clark Park", 3829, 13.84, 0.01209, 1440, 0.06945, 44.29355, 31
3025, 11th & Washington, 4550, 7.33, 0.00701, 1002, 0.05792, 48.28571, 50
3026, 2nd & South, 6339, 11.34, 0.00886, 1440, 0.06976, 43.19293, 235
3027, "40th Street Station MFL", 2651, 10.37, 0.01205, 769, 0.07237, 51.64089, 279
3028, 4th & Bainbridge, 9145, 9.59, 0.00845, 1440, 0.08346, 45.82832, 299
3029, 36th & Sansom, 7211, 9.73, 0.01005, 1440, 0.06741, 47.64942, 101
3030, Darien & Catharine, 6205, 7.57, 0.00746, 1440, 0.06276, 47.39726, 7
3031, 13th & Montgomery, 3519, 12.70, 0.01195, 1314, 0.06879, 47.48508, 127
3032, 23rd & South, 10000, 8.08, 0.00746, 1377, 0.05657, 48.12000, 114
3033, 10th & Chestnut, 6019, 9.55, 0.00767, 1440, 0.06163, 47.05101, 91
3034, 11th & Reed, 5361, 7.96, 0.00854, 979, 0.06698, 46.95020, 85
3035, Dornsife Center, 2809, 8.13, 0.00902, 260, 0.06291, 54.64578, 495
3036, 2nd & Germantown, 2293, 12.33, 0.01052, 1440, 0.07961, 43.52377, 155
3037, Pennsylvania Convention Center, 4996, 11.06, 0.00763, 1079, 0.06712, 43.89512, 282
3038, The Children's Hospital of Philadelphia (CHOP), 6458, 7.51, 0.01003, 986, 0.06862, 47.41406, 112
3039, Broad & Girard, 2984, 11.20, 0.00864, 1440, 0.06469, 52.58043, 356
3040, "17th & Spring Garden Community College of Philadelphia", 6091, 9.19, 0.00916, 1046, 0.05997, 51.04252, 449
3041, "Girard Station MFL", 3210, 12.56, 0.01169, 1440, 0.08409, 44.33022, 210
3043, "18th & Fernon Aquinas Center", 4112, 11.59, 0.00704, 1440, 0.06340, 37.96206, 48
3045, 13th & Locust, 13011, 10.08, 0.00785, 1440, 0.05822, 47.91330, 31
3046, 2nd & Market, 7216, 11.84, 0.00938, 1440, 0.07302, 46.18902, 172
3047, "Independence Mall NPS", 7200, 12.71, 0.00817, 1440, 0.06910, 43.09722, 314
3048, Broad & Fitzwater, 0, 0.00, 0.00000, 0, 0.00000, 0.00000, 0
3049, Foglietta Plaza, 5297, 15.27, 0.00848, 1440, 0.07624, 39.15424, 429
3050, 9th & Arch, 5149, 9.93, 0.00807, 1440, 0.07409, 47.40726, 3
3051, 23rd & Fairmount, 5767, 12.28, 0.00969, 1440, 0.04639, 50.92769, 537
3052, 9th & Locust, 8809, 8.51, 0.00761, 1440, 0.06321, 46.61142, 185
3053, Point Breeze & Tasker, 5781, 16.39, 0.00703, 1261, 0.05891, 34.52690, 53
3054, Rodin Museum, 12021, 10.71, 0.00751, 1440, 0.04531, 46.22744, 125
3055, 8th & Market, 3899, 12.21, 0.00867, 1440, 0.06373, 49.24340, 75
3056, Broad & Oxford, 5843, 11.85, 0.01005, 1440, 0.06589, 45.91819, 111
3057, Philadelphia Museum of Art, 11703, 22.48, 0.00737, 1440, 0.05067, 35.78570, 83
3058, 20th & Fairmount, 6290, 11.12, 0.00842, 1440, 0.05007, 50.60413, 594
3059, "Spring Garden Station BSL", 5265, 9.94, 0.00841, 1440, 0.05720, 50.38936, 275
3060, Free Library of Philadelphia - Central Library, 6458, 10.73, 0.00715, 1440, 0.04820, 44.78167, 168
3061, 23rd & Market, 6843, 10.52, 0.00794, 1440, 0.05229, 46.79234, 35
3062, 24th & Sansom, 4312, 11.03, 0.00721, 1440, 0.05345, 44.89796, 52
3063, 17th & Pine, 8024, 9.67, 0.00763, 1440, 0.05294, 48.35494, 216
3064, "18th & Washington Chew Playground", 6220, 9.00, 0.00837, 1440, 0.06460, 50.11254, 348
3065, Girard & Hutchinson, 860, 19.21, 0.00853, 1440, 0.07269, 47.20930, 26
3066, 19th & Lombard, 7488, 8.63, 0.00803, 1440, 0.06023, 50.21368, 376
3067, "39th & Mt. Vernon Mantua Haverford Community Center", 380, 19.64, 0.00809, 837, 0.05821, 42.63158, 32
3068, Broad & Federal, 5253, 9.43, 0.00819, 1346, 0.05495, 46.58291, 37
3069, 4th & Christian, 4523, 9.11, 0.00807, 1440, 0.07417, 43.70993, 189
3070, "Spring Garden Station MFL", 3856, 13.80, 0.01062, 1440, 0.07872, 44.42427, 40
3071, "32nd & Baring Drexel Park", 2951, 9.60, 0.00819, 883, 0.05712, 48.15317, 263
